Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_APITest,,,,21-10-2025 15:28:44,21-10-2025 15:28:51,7.389s,PASSED
,,,,,,,
Test Cases/TC01 API_AddObject,,,,21-10-2025 15:28:44,21-10-2025 15:28:51,6.574s,PASSED
"DATA BINDING - {""getName"":""Apple MacBook Pro 16"",""year"":""2019"",""namaTC"":""TC01"",""name"":""Apple MacBook Pro 16""}",,,,,,,
variable = [:],,,,21-10-2025 15:28:45,21-10-2025 15:28:45,0.002s,PASSED
"variable.put(""namaTC"", namaTC)",,,,21-10-2025 15:28:45,21-10-2025 15:28:45,0.012s,PASSED
"variable.put(""name"", name)",,,,21-10-2025 15:28:45,21-10-2025 15:28:45,0.002s,PASSED
"variable.put(""year"", year)",,,,21-10-2025 15:28:45,21-10-2025 15:28:45,0.001s,PASSED
"comment(""Nama Test Case: "" + namaTC)",,,,21-10-2025 15:28:45,21-10-2025 15:28:45,0.092s,PASSED
"request = findTestObject(""API_TestObject/AddObjectAPI"", variable)",,,,21-10-2025 15:28:45,21-10-2025 15:28:45,0.092s,PASSED
response = sendRequest(request),,,,21-10-2025 15:28:45,21-10-2025 15:28:46,0.762s,PASSED
bodyResponse = response.getResponseBodyContent(),,,,21-10-2025 15:28:46,21-10-2025 15:28:46,0.005s,PASSED
comment(bodyResponse),,,,21-10-2025 15:28:46,21-10-2025 15:28:46,0.005s,PASSED
"mii.ProductNameComparator.compareNameProduct(bodyResponse, getName)",,,,21-10-2025 15:28:46,21-10-2025 15:28:46,0.101s,PASSED
delay(5),,,,21-10-2025 15:28:46,21-10-2025 15:28:51,5.018s,PASSED
