Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_APITest,,,,21-10-2025 14:54:23,21-10-2025 14:54:30,7.787s,PASSED
,,,,,,,
Test Cases/TC01 API_AddObject,,,,21-10-2025 14:54:23,21-10-2025 14:54:30,6.952s,PASSED
"DATA BINDING - {""getName"":""Apple MacBook Pro 16"",""year"":""2019"",""namaTC"":""TC01"",""name"":""Apple MacBook Pro 16""}",,,,,,,
variable = [:],,,,21-10-2025 14:54:24,21-10-2025 14:54:24,0.004s,PASSED
"variable.put(""namaTC"", namaTC)",,,,21-10-2025 14:54:24,21-10-2025 14:54:24,0.014s,PASSED
"variable.put(""name"", name)",,,,21-10-2025 14:54:24,21-10-2025 14:54:24,0.004s,PASSED
"variable.put(""year"", year)",,,,21-10-2025 14:54:24,21-10-2025 14:54:24,0.004s,PASSED
"comment(""Nama Test Case: "" + namaTC)",,,,21-10-2025 14:54:24,21-10-2025 14:54:24,0.101s,PASSED
"request = findTestObject(""API_TestObject/AddObjectAPI"", variable)",,,,21-10-2025 14:54:24,21-10-2025 14:54:24,0.080s,PASSED
response = sendRequest(request),,,,21-10-2025 14:54:24,21-10-2025 14:54:25,1.148s,PASSED
bodyResponse = response.getResponseBodyContent(),,,,21-10-2025 14:54:25,21-10-2025 14:54:25,0.008s,PASSED
comment(bodyResponse),,,,21-10-2025 14:54:25,21-10-2025 14:54:25,0.005s,PASSED
"mii.ProductNameComparator.compareNameProduct(bodyResponse, getName)",,,,21-10-2025 14:54:25,21-10-2025 14:54:25,0.088s,PASSED
delay(5),,,,21-10-2025 14:54:25,21-10-2025 14:54:30,5.015s,PASSED
