Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_APITest,,,,21-10-2025 15:23:04,21-10-2025 15:23:12,7.875s,PASSED
,,,,,,,
Test Cases/TC01 API_AddObject,,,,21-10-2025 15:23:05,21-10-2025 15:23:12,7.062s,PASSED
"DATA BINDING - {""getName"":""Apple MacBook Pro 16"",""year"":""2019"",""namaTC"":""TC01"",""name"":""Apple MacBook Pro 16""}",,,,,,,
variable = [:],,,,21-10-2025 15:23:06,21-10-2025 15:23:06,0.006s,PASSED
"variable.put(""namaTC"", namaTC)",,,,21-10-2025 15:23:06,21-10-2025 15:23:06,0.012s,PASSED
"variable.put(""name"", name)",,,,21-10-2025 15:23:06,21-10-2025 15:23:06,0.002s,PASSED
"variable.put(""year"", year)",,,,21-10-2025 15:23:06,21-10-2025 15:23:06,0.002s,PASSED
"comment(""Nama Test Case: "" + namaTC)",,,,21-10-2025 15:23:06,21-10-2025 15:23:06,0.093s,PASSED
"request = findTestObject(""API_TestObject/AddObjectAPI"", variable)",,,,21-10-2025 15:23:06,21-10-2025 15:23:06,0.088s,PASSED
response = sendRequest(request),,,,21-10-2025 15:23:06,21-10-2025 15:23:07,1.214s,PASSED
bodyResponse = response.getResponseBodyContent(),,,,21-10-2025 15:23:07,21-10-2025 15:23:07,0.006s,PASSED
comment(bodyResponse),,,,21-10-2025 15:23:07,21-10-2025 15:23:07,0.004s,PASSED
"mii.ProductNameComparator.compareNameProduct(bodyResponse, getName)",,,,21-10-2025 15:23:07,21-10-2025 15:23:07,0.079s,PASSED
delay(5),,,,21-10-2025 15:23:07,21-10-2025 15:23:12,5.027s,PASSED
