Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_APITest,,,,21-10-2025 15:51:46,21-10-2025 15:51:54,7.744s,PASSED
,,,,,,,
Test Cases/TC01 API_AddObject,,,,21-10-2025 15:51:47,21-10-2025 15:51:54,6.971s,PASSED
"DATA BINDING - {""getName"":""Apple MacBook Pro 16"",""year"":""2019"",""namaTC"":""TC01"",""name"":""Apple MacBook Pro 16""}",,,,,,,
variable = [:],,,,21-10-2025 15:51:48,21-10-2025 15:51:48,0.005s,PASSED
"variable.put(""namaTC"", namaTC)",,,,21-10-2025 15:51:48,21-10-2025 15:51:48,0.013s,PASSED
"variable.put(""name"", name)",,,,21-10-2025 15:51:48,21-10-2025 15:51:48,0.004s,PASSED
"variable.put(""year"", year)",,,,21-10-2025 15:51:48,21-10-2025 15:51:48,0.004s,PASSED
"comment(""Nama Test Case: "" + namaTC)",,,,21-10-2025 15:51:48,21-10-2025 15:51:48,0.094s,PASSED
"request = findTestObject(""API_TestObject/AddObjectAPI"", variable)",,,,21-10-2025 15:51:48,21-10-2025 15:51:48,0.074s,PASSED
response = sendRequest(request),,,,21-10-2025 15:51:48,21-10-2025 15:51:49,1.103s,PASSED
bodyResponse = response.getResponseBodyContent(),,,,21-10-2025 15:51:49,21-10-2025 15:51:49,0.006s,PASSED
comment(bodyResponse),,,,21-10-2025 15:51:49,21-10-2025 15:51:49,0.006s,PASSED
"mii.ProductNameComparator.compareNameProduct(bodyResponse, getName)",,,,21-10-2025 15:51:49,21-10-2025 15:51:49,0.106s,PASSED
delay(5),,,,21-10-2025 15:51:49,21-10-2025 15:51:54,5.018s,PASSED
