Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_APITest,,,,21-10-2025 15:53:18,21-10-2025 15:53:26,7.613s,PASSED
,,,,,,,
Test Cases/TC01 API_AddObject,,,,21-10-2025 15:53:19,21-10-2025 15:53:26,6.895s,PASSED
"DATA BINDING - {""getName"":""Apple MacBook Pro 16"",""year"":""2019"",""namaTC"":""TC01"",""name"":""Apple MacBook Pro 16""}",,,,,,,
variable = [:],,,,21-10-2025 15:53:20,21-10-2025 15:53:20,0.003s,PASSED
"variable.put(""namaTC"", namaTC)",,,,21-10-2025 15:53:20,21-10-2025 15:53:20,0.011s,PASSED
"variable.put(""name"", name)",,,,21-10-2025 15:53:20,21-10-2025 15:53:20,0.002s,PASSED
"variable.put(""year"", year)",,,,21-10-2025 15:53:20,21-10-2025 15:53:20,0.004s,PASSED
"comment(""Nama Test Case: "" + namaTC)",,,,21-10-2025 15:53:20,21-10-2025 15:53:20,0.095s,PASSED
"request = findTestObject(""API_TestObject/AddObjectAPI"", variable)",,,,21-10-2025 15:53:20,21-10-2025 15:53:20,0.077s,PASSED
response = sendRequest(request),,,,21-10-2025 15:53:20,21-10-2025 15:53:21,1.131s,PASSED
bodyResponse = response.getResponseBodyContent(),,,,21-10-2025 15:53:21,21-10-2025 15:53:21,0.007s,PASSED
comment(bodyResponse),,,,21-10-2025 15:53:21,21-10-2025 15:53:21,0.005s,PASSED
"mii.ProductNameComparator.compareNameProduct(bodyResponse, getName)",,,,21-10-2025 15:53:21,21-10-2025 15:53:21,0.088s,PASSED
delay(5),,,,21-10-2025 15:53:21,21-10-2025 15:53:26,5.023s,PASSED
