Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_APITest,,,,21-10-2025 15:52:49,21-10-2025 15:52:57,7.624s,PASSED
,,,,,,,
Test Cases/TC01 API_AddObject,,,,21-10-2025 15:52:50,21-10-2025 15:52:57,6.843s,PASSED
"DATA BINDING - {""getName"":""Apple MacBook Pro 16"",""year"":""2019"",""namaTC"":""TC01"",""name"":""Apple MacBook Pro 16""}",,,,,,,
variable = [:],,,,21-10-2025 15:52:50,21-10-2025 15:52:50,0.004s,PASSED
"variable.put(""namaTC"", namaTC)",,,,21-10-2025 15:52:50,21-10-2025 15:52:50,0.012s,PASSED
"variable.put(""name"", name)",,,,21-10-2025 15:52:50,21-10-2025 15:52:50,0.003s,PASSED
"variable.put(""year"", year)",,,,21-10-2025 15:52:50,21-10-2025 15:52:50,0.003s,PASSED
"comment(""Nama Test Case: "" + namaTC)",,,,21-10-2025 15:52:50,21-10-2025 15:52:50,0.092s,PASSED
"request = findTestObject(""API_TestObject/AddObjectAPI"", variable)",,,,21-10-2025 15:52:50,21-10-2025 15:52:50,0.074s,PASSED
response = sendRequest(request),,,,21-10-2025 15:52:50,21-10-2025 15:52:51,1.080s,PASSED
bodyResponse = response.getResponseBodyContent(),,,,21-10-2025 15:52:51,21-10-2025 15:52:51,0.003s,PASSED
comment(bodyResponse),,,,21-10-2025 15:52:51,21-10-2025 15:52:51,0.004s,PASSED
"mii.ProductNameComparator.compareNameProduct(bodyResponse, getName)",,,,21-10-2025 15:52:51,21-10-2025 15:52:52,0.095s,PASSED
delay(5),,,,21-10-2025 15:52:52,21-10-2025 15:52:57,5.018s,PASSED
