Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_APITest,,,,21-10-2025 15:27:46,21-10-2025 15:27:53,7.215s,PASSED
,,,,,,,
Test Cases/TC01 API_AddObject,,,,21-10-2025 15:27:47,21-10-2025 15:27:53,6.482s,PASSED
"DATA BINDING - {""getName"":""Apple MacBook Pro 16"",""year"":""2019"",""namaTC"":""TC01"",""name"":""Apple MacBook Pro 16""}",,,,,,,
variable = [:],,,,21-10-2025 15:27:47,21-10-2025 15:27:47,0.003s,PASSED
"variable.put(""namaTC"", namaTC)",,,,21-10-2025 15:27:47,21-10-2025 15:27:47,0.008s,PASSED
"variable.put(""name"", name)",,,,21-10-2025 15:27:47,21-10-2025 15:27:47,0.000s,PASSED
"variable.put(""year"", year)",,,,21-10-2025 15:27:47,21-10-2025 15:27:47,0.001s,PASSED
"comment(""Nama Test Case: "" + namaTC)",,,,21-10-2025 15:27:47,21-10-2025 15:27:47,0.114s,PASSED
"request = findTestObject(""API_TestObject/AddObjectAPI"", variable)",,,,21-10-2025 15:27:47,21-10-2025 15:27:47,0.070s,PASSED
response = sendRequest(request),,,,21-10-2025 15:27:47,21-10-2025 15:27:48,0.729s,PASSED
bodyResponse = response.getResponseBodyContent(),,,,21-10-2025 15:27:48,21-10-2025 15:27:48,0.006s,PASSED
comment(bodyResponse),,,,21-10-2025 15:27:48,21-10-2025 15:27:48,0.005s,PASSED
"mii.ProductNameComparator.compareNameProduct(bodyResponse, getName)",,,,21-10-2025 15:27:48,21-10-2025 15:27:48,0.102s,PASSED
delay(5),,,,21-10-2025 15:27:48,21-10-2025 15:27:53,5.008s,PASSED
