Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_APITest,,,,21-10-2025 15:46:06,21-10-2025 15:46:14,7.747s,PASSED
,,,,,,,
Test Cases/TC01 API_AddObject,,,,21-10-2025 15:46:07,21-10-2025 15:46:14,6.988s,PASSED
"DATA BINDING - {""getName"":""Apple MacBook Pro 16"",""year"":""2019"",""namaTC"":""TC01"",""name"":""Apple MacBook Pro 16""}",,,,,,,
variable = [:],,,,21-10-2025 15:46:08,21-10-2025 15:46:08,0.003s,PASSED
"variable.put(""namaTC"", namaTC)",,,,21-10-2025 15:46:08,21-10-2025 15:46:08,0.010s,PASSED
"variable.put(""name"", name)",,,,21-10-2025 15:46:08,21-10-2025 15:46:08,0.002s,PASSED
"variable.put(""year"", year)",,,,21-10-2025 15:46:08,21-10-2025 15:46:08,0.003s,PASSED
"comment(""Nama Test Case: "" + namaTC)",,,,21-10-2025 15:46:08,21-10-2025 15:46:08,0.098s,PASSED
"request = findTestObject(""API_TestObject/AddObjectAPI"", variable)",,,,21-10-2025 15:46:08,21-10-2025 15:46:08,0.078s,PASSED
response = sendRequest(request),,,,21-10-2025 15:46:08,21-10-2025 15:46:09,1.198s,PASSED
bodyResponse = response.getResponseBodyContent(),,,,21-10-2025 15:46:09,21-10-2025 15:46:09,0.007s,PASSED
comment(bodyResponse),,,,21-10-2025 15:46:09,21-10-2025 15:46:09,0.006s,PASSED
"mii.ProductNameComparator.compareNameProduct(bodyResponse, getName)",,,,21-10-2025 15:46:09,21-10-2025 15:46:09,0.097s,PASSED
delay(5),,,,21-10-2025 15:46:09,21-10-2025 15:46:14,5.021s,PASSED
