Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_APITest,,,,21-10-2025 15:24:32,21-10-2025 15:24:39,7.875s,PASSED
,,,,,,,
Test Cases/TC01 API_AddObject,,,,21-10-2025 15:24:32,21-10-2025 15:24:39,7.050s,PASSED
"DATA BINDING - {""getName"":""Apple MacBook Pro 16"",""year"":""2019"",""namaTC"":""TC01"",""name"":""Apple MacBook Pro 16""}",,,,,,,
variable = [:],,,,21-10-2025 15:24:33,21-10-2025 15:24:33,0.003s,PASSED
"variable.put(""namaTC"", namaTC)",,,,21-10-2025 15:24:33,21-10-2025 15:24:33,0.013s,PASSED
"variable.put(""name"", name)",,,,21-10-2025 15:24:33,21-10-2025 15:24:33,0.003s,PASSED
"variable.put(""year"", year)",,,,21-10-2025 15:24:33,21-10-2025 15:24:33,0.005s,PASSED
"comment(""Nama Test Case: "" + namaTC)",,,,21-10-2025 15:24:33,21-10-2025 15:24:33,0.095s,PASSED
"request = findTestObject(""API_TestObject/AddObjectAPI"", variable)",,,,21-10-2025 15:24:33,21-10-2025 15:24:33,0.081s,PASSED
response = sendRequest(request),,,,21-10-2025 15:24:33,21-10-2025 15:24:34,1.171s,PASSED
bodyResponse = response.getResponseBodyContent(),,,,21-10-2025 15:24:34,21-10-2025 15:24:34,0.011s,PASSED
comment(bodyResponse),,,,21-10-2025 15:24:34,21-10-2025 15:24:34,0.007s,PASSED
"mii.ProductNameComparator.compareNameProduct(bodyResponse, getName)",,,,21-10-2025 15:24:34,21-10-2025 15:24:34,0.104s,PASSED
delay(5),,,,21-10-2025 15:24:34,21-10-2025 15:24:39,5.023s,PASSED
