Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_APITest,,,,21-10-2025 15:23:28,21-10-2025 15:23:35,7.637s,PASSED
,,,,,,,
Test Cases/TC01 API_AddObject,,,,21-10-2025 15:23:29,21-10-2025 15:23:35,6.869s,PASSED
"DATA BINDING - {""getName"":""Apple MacBook Pro 16"",""year"":""2019"",""namaTC"":""TC01"",""name"":""Apple MacBook Pro 16""}",,,,,,,
variable = [:],,,,21-10-2025 15:23:29,21-10-2025 15:23:29,0.003s,PASSED
"variable.put(""namaTC"", namaTC)",,,,21-10-2025 15:23:29,21-10-2025 15:23:29,0.008s,PASSED
"variable.put(""name"", name)",,,,21-10-2025 15:23:29,21-10-2025 15:23:29,0.003s,PASSED
"variable.put(""year"", year)",,,,21-10-2025 15:23:29,21-10-2025 15:23:29,0.004s,PASSED
"comment(""Nama Test Case: "" + namaTC)",,,,21-10-2025 15:23:29,21-10-2025 15:23:29,0.085s,PASSED
"request = findTestObject(""API_TestObject/AddObjectAPI"", variable)",,,,21-10-2025 15:23:29,21-10-2025 15:23:29,0.067s,PASSED
response = sendRequest(request),,,,21-10-2025 15:23:29,21-10-2025 15:23:30,1.123s,PASSED
bodyResponse = response.getResponseBodyContent(),,,,21-10-2025 15:23:30,21-10-2025 15:23:30,0.007s,PASSED
comment(bodyResponse),,,,21-10-2025 15:23:30,21-10-2025 15:23:30,0.003s,PASSED
"mii.ProductNameComparator.compareNameProduct(bodyResponse, getName)",,,,21-10-2025 15:23:30,21-10-2025 15:23:30,0.089s,PASSED
delay(5),,,,21-10-2025 15:23:30,21-10-2025 15:23:35,5.020s,PASSED
