Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_APITest,,,,21-10-2025 14:25:00,21-10-2025 14:25:23,23.509s,FAILED
,,,,,,,
Test Cases/TC01 API_AddObject,,,,21-10-2025 14:25:18,21-10-2025 14:25:23,5.181s,FAILED
"DATA BINDING - {""year"":""2019"",""namaTC"":""TC01"",""name"":""Apple MacBook Pro 16""}",,,,,,,
variable = [:],,,,21-10-2025 14:25:18,21-10-2025 14:25:18,0.000s,PASSED
"variable.put(""namaTC"", namaTC)",,,,21-10-2025 14:25:18,21-10-2025 14:25:18,0.002s,PASSED
"comment(""Nama Test Case: "" + namaTC)",,,,21-10-2025 14:25:18,21-10-2025 14:25:18,0.002s,PASSED
"request = findTestObject(""API_TestObject/AddObjectAPI"", [""url"":""https://api.restful-api.dev""])",,,,21-10-2025 14:25:18,21-10-2025 14:25:18,0.023s,PASSED
response = sendRequest(request),,,,21-10-2025 14:25:18,21-10-2025 14:25:18,0.116s,PASSED
bodyResponse = response.getResponseBodyContent(),,,,21-10-2025 14:25:18,21-10-2025 14:25:18,0.008s,PASSED
comment(bodyResponse),,,,21-10-2025 14:25:18,21-10-2025 14:25:18,0.002s,PASSED
"mii.JsonParser.compareNameProduct(bodyResponse, name)",,,,21-10-2025 14:25:18,21-10-2025 14:25:18,0.003s,FAILED
delay(5),,,,21-10-2025 14:25:18,21-10-2025 14:25:23,5.008s,PASSED
